ZCTA,Median Home Value (dollars),Bachelor's degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,"Median Houshold Income (>$200,000)"
11430,0,18,54,113,332,122,173,6,0
10279,0,92,1,1,161,161,0,0,75
10474,"434,900","1,026",3,41,"11,280","1,074","3,674",52,116
10162,0,851,10,19,"1,523","1,412",9,44,209
10455,"344,100","3,912",26,40,"44,380","5,102","13,232",708,221
11239,"467,600","2,974",39,75,"16,808","2,899","11,133",444,240
11005,"603,900","1,444",53,105,"2,175","2,109",0,66,341
10475,"30,800","8,014",15,45,"43,517","3,899","27,844","1,014",402
10458,"476,200","7,103",27,48,"82,678","9,276","15,287","2,760",428
10452,"474,400","7,053",17,44,"78,624","10,687","28,025",868,440
10456,"403,600","7,001",26,44,"88,575","11,426","41,499",627,452
10454,"782,900","2,991",14,40,"41,073","5,379","13,083",180,462
11697,"660,700","1,530",47,100,"3,946","3,832",9,44,468
10039,"576,900","6,119",16,32,"29,887","3,264","17,156",567,473
10468,"278,200","7,880",19,52,"81,397","10,404","19,491","1,873",548
10457,"265,200","7,252",18,48,"79,817","11,647","34,138",378,569
10302,"529,600","3,603",22,121,"18,567","7,500","4,222","1,063",573
11693,"458,800","3,456",47,100,"13,558","7,616","3,232",457,578
11363,"986,000","3,077",53,111,"7,365","4,052",46,"2,276",585
10464,"630,700","1,886",20,45,"4,292","3,293",66,105,614
10459,"570,600","4,592",26,41,"51,964","5,605","17,702",154,634
11369,"704,400","5,019",49,115,"32,177","5,975","5,653","4,781",662
11366,"928,200","5,073",52,107,"13,659","4,965",738,"5,781",683
11692,"591,800","4,434",47,100,"24,584","4,698","14,210","1,129",767
11436,"573,500","3,351",50,113,"21,349",734,"13,430","1,371",770
10037,0,"6,300",16,25,"19,138","2,544","12,593",731,772
11004,"647,400","5,790",53,105,"15,702","4,304",850,"8,129",777
11370,"844,700","5,287",49,114,"28,164","10,509","3,191","6,920",785
10451,"243,400","6,620",14,44,"51,311","6,985","23,231",713,815
11428,"645,300","3,979",54,105,"19,554","2,305","4,074","6,245",831
10470,"536,400","4,458",15,47,"15,390","6,679","5,332",312,875
10303,"433,600","4,905",22,121,"27,083","9,093","8,770","2,650",875
11416,"724,200","4,757",51,102,"27,794","5,501","1,394","9,448",876
11356,"856,500","4,496",52,109,"27,632","7,464",256,"9,084",903
10472,"581,100","5,828",3,43,"65,283","5,317","17,450","5,656",915
11426,"653,300","6,210",53,105,"19,733","5,340","1,165","9,252",920
10035,"661,800","8,084",12,25,"38,595","7,733","15,568","1,295",932
11433,"586,800","4,391",50,103,"38,865","1,620","21,823","6,031",982
10030,"710,500","8,135",16,32,"31,268","5,145","18,253","1,134","1,004"
10473,"542,600","9,057",3,43,"60,087","10,307","22,716","1,361","1,005"
10006,"1,066,700","2,476",1,1,"3,736","2,550",225,684,"1,074"
11427,"678,400","6,502",53,111,"25,187","5,072","5,707","8,714","1,083"
11423,"678,700","7,600",54,103,"29,921","3,793","10,078","9,191","1,092"
10034,"491,200","12,369",13,34,"41,570","12,964","5,103","1,495","1,156"
11417,"669,800","5,500",51,106,"31,200","7,695","2,665","9,060","1,168"
10307,"785,200","3,922",23,123,"14,755","13,384",10,324,"1,182"
10467,"411,000","14,283",27,52,"98,713","18,732","31,581","6,256","1,197"
11362,"669,000","7,782",53,111,"18,426","7,470",491,"9,010","1,206"
11354,"513,300","13,051",52,109,"53,371","8,888","1,564","35,533","1,210"
10004,"1,792,200","3,388",1,1,"4,579","2,653",266,"1,419","1,230"
