ZCTA,Median Home Value (Dollars),Bachelors degree or higher (Older than 25),Fire Department Battalion,Police Precinct,Population,White,Black or African American,Asian,Median Houshold Income (More than 200000 Dollars)
10001,460500,11795,7,10,23332,14814,2235,5000,2711
10002,608900,20608,4,7,78096,24591,6638,33352,2094
10003,963100,32285,6,9,56767,44001,2493,7348,6797
10004,1250000,2048,1,1,3044,2201,31,744,481
10005,1424900,5760,1,1,8710,6425,245,1625,1355
10006,939800,2272,1,1,3277,2162,99,686,536
10007,1946100,4032,1,1,6740,4790,390,1062,1615
10009,609700,27754,4,9,59799,36219,4898,8096,2870
10010,698800,19387,8,13,32854,24356,1867,4963,4621
10011,973200,32738,7,10,50404,40021,2313,5091,8189
10012,1322000,15466,2,1,24536,18565,641,3959,2641
10013,2000000,13221,1,1,28211,15813,1371,9039,3924
10014,1039000,23108,2,6,31464,27978,417,1770,5590
10016,723300,31243,8,17,50444,36626,1537,9872,6269
10017,590200,11407,8,17,16533,11965,503,3732,2391
10018,927100,5623,7,10,9684,5724,532,2842,1210
10019,929700,24391,9,18,39505,27568,2551,6356,5285
10021,1178900,29923,10,19,45261,37409,576,4280,8117
10022,904000,21463,8,17,30262,25795,605,3170,5774
10023,972600,39186,9,20,60307,49506,2060,6270,9425
10024,1272600,37104,11,20,58516,47632,3146,4282,9086
10025,963900,48281,11,24,94717,62509,11505,8697,8212
10026,695400,11464,11,28,38540,10025,21314,2076,1339
10027,672600,18537,11,28,64120,19234,26546,6201,1681
10028,1155200,32207,10,19,48205,41499,659,4436,7250
10029,792400,18416,12,23,79411,27547,22983,6912,1484
10030,531300,5819,16,32,30358,4829,19828,704,481
10031,322500,14100,16,30,60778,17689,19916,2091,673
10032,378100,13840,13,33,63189,19928,12119,2597,358
10033,469700,15030,13,34,59353,24531,6097,1389,894
10034,337100,9438,13,34,43951,17431,4109,873,513
10035,472700,5911,12,25,34187,7486,14313,1879,281
10036,825800,16222,9,18,25987,16688,1945,5008,2819
10037,412000,5211,16,25,20112,2161,14880,503,190
10038,637000,10095,1,1,22300,11212,1940,7460,1806
10039,390600,4865,16,32,27471,3260,17984,388,233
10040,356900,10853,13,34,45033,16353,4635,1320,489
10044,626900,5752,14,114,11731,6234,1710,3034,767
10065,1370200,20014,10,19,30001,26148,1010,2329,5461
10069,1539500,3484,9,20,5231,3764,158,1161,1041
10075,835600,15276,10,19,23353,20558,341,1152,3640
10128,926600,40221,10,19,63006,50826,3094,5828,8083
10162,0,851,10,19,1253,1069,0,94,288
10279,0,0,1,1,0,0,0,0,0
10280,705400,6395,1,1,9845,7584,156,1630,1806
10282,1654400,3354,1,1,5635,3986,78,1243,1457
10301,421000,8882,21,120,39519,21218,11216,2406,812
10302,363400,2514,22,121,17758,10741,3279,1384,227
10303,314200,3827,22,121,24562,9863,9343,2068,230
10304,452000,8418,21,120,42054,22216,11174,3761,1192
10305,417600,9506,21,122,41533,31588,2048,4792,868
10306,453600,11943,23,122,55031,48996,1349,2847,1601
10307,614200,3245,23,123,15275,14322,33,467,629
10308,458700,6566,23,122,30347,28094,92,1522,765
10309,554000,7261,23,123,33459,29960,429,1671,1441
10310,399500,4713,22,120,24250,14641,5286,1444,533
10312,480200,14840,23,123,60951,55873,613,3267,2029
10314,443200,19997,22,121,88585,67895,4079,12423,2639
10451,122200,5596,14,44,48289,5166,18728,857,300
10452,265800,5782,17,44,75288,8364,23852,772,205
10453,380200,6289,19,46,80516,8376,25730,1242,116
10454,392000,1925,14,40,38938,6074,11341,270,84
10455,311600,2535,26,40,42779,3963,12137,430,136
10456,360300,7231,26,44,92712,7933,37705,1220,162
10457,377600,5479,18,48,74010,8596,25497,941,142
10458,350600,6466,27,48,81698,15769,16735,2571,272
10459,373800,3072,26,41,47972,5636,15712,485,106
10460,414600,4391,18,42,60266,8084,17196,974,117
10461,441800,9546,20,49,50255,23975,4489,5592,753
10462,239000,12920,3,49,78725,17569,21468,9567,455
10463,272000,19615,19,50,71657,30893,11004,3000,1604
10464,477700,1141,20,45,4300,3262,69,209,115
10465,440900,7622,20,45,44950,27291,5179,1500,1090
10466,398000,10164,15,47,71645,6235,52501,1747,525
10467,347000,12524,27,52,103045,20637,36795,6483,307
10468,189100,7952,19,52,75537,10633,15941,2654,260
10469,421600,12149,15,49,71664,13370,39319,3822,729
10470,413100,3321,15,47,14574,6805,5136,522,185
10471,322600,8759,27,50,21601,15290,1707,1551,1007
10472,417700,4534,3,43,68972,12034,19597,4013,103
10473,365600,6600,3,43,61818,21980,24570,1303,382
10474,382700,807,3,41,12793,1574,4221,54,28
10475,28400,8176,15,45,44749,7078,27516,577,277
11001,489800,9064,53,105,27650,19552,1592,4798,1415
11004,479700,4294,53,105,14722,7286,1067,5267,338
11005,436400,899,53,105,1926,1907,0,0,116
11101,775900,8490,45,108,26505,12794,4095,5088,1076
11102,566500,11431,49,114,33750,19623,3662,5055,738
11103,700800,14591,49,114,38861,27142,1103,6130,715
11104,440400,8843,49,108,26102,17314,384,5524,583
11105,704200,13520,49,114,37297,27733,816,4974,838
11106,453000,14412,45,114,39409,21854,2759,8155,724
11109,386400,3550,45,108,4964,3179,235,1273,901
11201,794500,32356,32,84,60061,38567,8227,6763,6539
11203,417400,11460,41,67,75920,3475,67735,1264,689
11204,727400,13403,42,62,79332,48426,769,24516,1037
11205,636000,11068,31,79,44818,21252,14271,3443,1165
11206,560300,12854,35,90,86486,39767,22553,5906,856
11207,412400,8209,39,75,93251,12698,61747,1216,437
11208,422300,8242,39,75,95715,24511,50977,5909,539
11209,696300,24377,40,68,67822,51294,1415,8665,2586
11210,512700,14955,41,63,68435,20260,41290,2752,1296
11211,843300,30561,35,94,99964,76935,6384,5310,4024
11212,406000,7292,44,73,86469,4882,72455,1332,265
11213,657600,10468,38,77,65434,13526,44661,1379,469
11214,645000,19507,42,62,91728,48182,1215,33497,1298
11215,1000800,38239,48,78,69965,52895,3192,5311,6349
11216,802800,17597,38,79,55816,13451,35215,2720,1168
11217,991700,19807,31,84,38670,22901,6589,2755,3451
11218,624700,20458,48,66,74831,42841,6315,13676,1621
11219,787700,9361,40,66,96287,63410,1164,24033,540
11220,720000,12406,40,72,101006,26415,2499,41620,799
11221,610600,13833,37,83,84034,23951,46216,3087,877
11222,713400,16431,28,94,35695,29256,1078,2129,1463
11223,656300,16177,33,62,79730,50499,3301,18293,1242
11224,331000,10897,43,60,43444,25657,9622,3041,421
11225,653600,14091,38,71,60323,13819,41065,1479,843
11226,487800,17609,41,70,101787,12784,71548,3266,961
11228,763100,10318,42,68,46164,27447,397,15761,1221
11229,531300,22056,43,61,82914,56556,4341,16722,1716
11230,690900,21850,33,66,88933,61733,6709,12746,1812
11231,1053300,16118,32,76,36302,24286,4709,1818,2942
11232,580000,4990,40,72,29387,10808,1510,5866,338
11233,609500,10050,37,81,72159,4827,58003,1158,690
11234,501700,22137,58,63,95546,40757,44689,5281,2415
11235,515000,26435,43,61,78237,60703,2191,11056,1605
11236,480300,17591,58,69,100049,5437,87209,2722,1250
11237,551100,8044,28,90,53678,28141,9790,3987,400
11238,761500,24678,57,77,53992,22757,22744,3232,2501
11239,511900,1760,39,75,12468,3821,7428,326,64
11354,438100,10045,52,109,58551,12974,2049,35477,815
11355,527900,13193,52,109,82028,10317,2817,60445,551
11356,575300,3557,52,109,24405,8632,496,7751,296
11357,620700,10589,52,109,39259,28368,198,8199,912
11358,659900,9660,53,109,37461,16358,434,16785,1073
11360,516600,7593,53,109,19309,12697,326,4986,849
11361,605200,9157,53,111,29322,14824,743,11427,845
11362,509400,6638,53,111,18198,9374,437,7404,625
11363,798900,2709,53,111,7577,4584,92,2252,353
11364,507600,11594,53,111,35068,14614,1020,17793,1030
11365,620800,11171,52,111,44617,15988,2637,19835,909
11366,669000,4599,52,107,14042,6552,729,5952,599
11367,409200,11096,52,107,42663,24409,3885,10629,548
11368,493200,8402,46,110,112982,46903,13664,12840,378
11369,486300,4555,49,115,37823,9284,5989,5356,222
11370,576200,5097,49,114,34445,13677,5017,7732,313
11372,282100,13563,49,115,64109,39641,1613,12926,804
11373,512800,18197,46,110,96616,28730,2277,48112,963
11374,298900,16273,50,112,43158,25900,1432,11981,838
11375,371800,32154,50,112,71159,44992,2251,18997,2982
11377,442500,18910,46,108,90883,44454,2262,33736,973
11378,552700,6329,46,104,33270,24882,640,3409,609
11379,588400,8465,46,104,36082,29305,471,3715,673
11385,509100,16935,51,104,103372,85096,2329,6947,1189
11411,402500,4391,54,105,19300,438,17834,129,359
11412,392100,5839,54,113,37802,856,33102,936,529
11413,415900,7687,54,105,42699,1013,38947,503,799
11414,479900,5706,51,106,28247,22442,512,1170,736
11415,334600,6683,50,102,19308,11576,1225,3779,522
11416,457700,3783,51,102,27144,7582,1597,9351,252
11417,444600,4912,51,106,31742,12044,2184,9212,413
11418,470400,6816,51,102,39908,15643,2887,10130,475
11419,442100,6640,50,102,51642,6074,8965,15127,623
11420,428800,5586,50,106,50549,8854,12545,12562,635
11421,430000,6219,51,102,43341,20987,1904,8799,621
11422,412600,6265,54,105,33408,2213,29185,503,626
11423,441900,6239,54,103,31823,4461,12134,9005,488
11426,479300,4964,53,105,19991,8298,789,8917,374
11427,466900,5238,53,111,22941,6458,5335,7466,488
11428,432400,2397,54,105,19736,4457,3855,5595,208
11429,393700,4040,53,105,26739,1163,20998,863,358
11430,0,17,54,113,179,16,129,0,0
11432,541200,15099,50,107,64686,14659,10431,26885,971
11433,375900,3673,50,103,34703,1480,23416,2289,204
11434,380500,9865,54,113,66279,1839,58855,1037,425
11435,340500,11237,50,103,57627,11556,13942,12550,492
11436,369700,2388,50,113,20136,1463,13551,1784,128
11691,434800,8796,47,101,64946,24927,30136,2142,490
11692,356600,2687,47,100,19403,5028,11160,1145,203
11693,291500,2141,47,100,12021,6911,2798,811,143
11694,611300,6004,47,100,21219,17345,1684,652,721
11697,548100,1290,47,100,3928,3776,13,10,216
