zip,home_value,gentrifying_rate,age_median,commute_time,education_college_or_above,family_size,income_household_median,male,married,race_white,race_black,race_asian
10001,595119,5.868502796,35.8,26.3,73.2,2.85,101409,46.6,27.7,62.9,7.9,16.8
10002,741081,19.97899873,43.7,32.5,36.4,3.08,37093,50.3,36.2,32.1,8.4,39.4
10003,974174,7.08320185,32,24.4,82.3,2.68,137533,50,25.6,70.7,5.2,16.7
10004,1609370,7.450200679,33.9,26.3,96.6,3.06,216017,53,57.6,57.5,3.4,33.2
10005,1399537,7.097475506,30.3,24,92.7,2.76,197188,44.9,32.1,75.2,1.7,13.7
10006,937889,4.676910879,31.9,30.4,88.9,2.85,200536,47.4,39,64.9,6.5,23
10007,2000001,7.999972,34,25.2,86.7,2.92,250001,52.6,50.7,75.3,9,13
10009,614907,7.929066034,37,32.1,62.4,2.98,77551,50.8,27.4,58.2,7.6,13.3
10010,1002005,7.61199529,36,30.4,78.7,2.76,131635,49.1,40.1,69.1,8.9,14.9
10011,1028447,7.380686507,42.8,24.2,78.9,2.69,139343,51.2,33.1,75,4.5,9.4
10012,1692582,14.39502981,35.2,24.3,82.5,2.64,117581,49.8,33.1,71.1,3.6,18.6
10013,2000001,14.53784927,39.6,25.7,70,2.77,137572,49.5,47.1,58.2,3.4,31
10014,1265169,9.264632869,39.2,26.6,84.5,2.58,136559,48.7,30.9,85.6,1.8,4.6
10016,889414,6.519148874,32.7,24.9,82.4,2.68,136431,48.4,32.3,67.8,4.4,17.7
10017,802031,5.892434172,40.7,27.2,85,2.44,136112,45.6,38.3,74.4,2.7,17.8
10018,669003,5.128149505,34.2,27.4,78.2,2.64,130457,49.5,35.9,56,5.1,30.2
10019,876389,8.30401372,40.4,27.3,74.7,2.57,105538,54.4,33.3,64.9,6.1,18.8
10021,1534396,11.27734823,44.5,29,78.8,2.85,136060,45.3,54.8,84.8,0.3,9.3
10022,1059881,6.783021343,49.3,26.1,82.9,2.58,156255,45.6,48.4,83.2,1.4,10.3
10023,1354744,9.953375603,43.2,28.6,82,2.71,136109,43.9,43.8,73.4,4.7,12.6
10024,1631854,10.65338791,41.5,31.5,82.7,3,153177,43.9,51.3,81.7,2.9,5.6
10025,1036547,10.02075599,40,34.3,67.9,2.96,103440,46.4,36.5,61.3,11.5,10.1
10026,942611,14.49323472,35.7,36.1,49.7,3.53,65038,46.7,28.7,25.6,51.5,6
10027,796538,13.63117994,31,32.2,50.8,3.35,58435,47.4,23.5,30,37.2,8.7
10028,1403429,9.369372918,40.4,31.1,81.5,2.76,149789,44,47.1,86.6,1.3,7.6
10029,559102,16.49219787,38.4,36.3,31.7,3.24,33901,44.3,25.1,27.5,30.4,10.7
10030,0,0,37.6,38.8,35,3.44,42834,44.9,24.3,16.7,57.9,3.5
10031,532201,9.307467646,35.4,39.2,39,3.72,57180,48.4,29.4,26.4,28.2,4.4
10032,0,0,37.1,38.9,36.1,3.73,55059,49.1,25.1,23.4,17.8,4.9
10033,616807,8.611014938,36.9,42.3,37.6,3.75,71630,51.8,31.3,36.4,8.2,2.9
10034,425584,6.665267576,37.3,47.1,38.2,3.73,63851,46.6,34.2,32,12.8,2.8
10035,637362,19.57800645,36.3,38.7,29.6,3.59,32555,49.7,20.7,20.9,40.4,3.7
10036,1215522,12.38092425,39.7,29,67.4,2.45,98177,55.5,27.7,59.6,7.5,16.8
10037,183332,3.758189496,39.1,38.2,43.7,3.11,48782,44,23.3,11.5,68.9,3.6
10038,800285,8.008936792,35.1,26.2,62.1,2.97,99924,47.1,31.1,49.5,10.7,28.4
10039,494810,9.863846583,35.8,41.4,31.1,3.17,50164,46.1,23.4,15.5,56.5,2.3
10040,417461,7.631828154,39.6,41.4,37.3,3.61,54700,47.7,31.7,30.1,6.7,2.3
10044,966347,8.381589675,41.4,36.2,68.6,2.94,115294,49.4,45.6,43.3,13,32.9
10065,1279631,8.400111596,37.7,25.4,85.3,2.84,152335,43.5,45.1,79.8,2.1,13.8
10069,1895326,10.34690847,38.6,31.4,88,3.22,183178,56.5,59,49.7,3.1,32.3
10075,1102100,8.389154462,43,28.6,81.9,2.68,131372,42.6,47.9,86,1.8,7.1
10128,1178137,9.210023531,42.1,32.6,78.4,2.8,127919,43.6,43.7,73.4,5.1,9.9
10162,0,0,40.4,23.1,63.8,2.89,99300,41.5,49,97.1,0,2.9
10279,0,0,48.1,0,42.8,2.17,0,44.3,19.8,100,0,0
10280,846150,4.749702495,45,28.9,85.6,2.53,178148,45.4,46.4,72.2,1.6,21.1
10282,0,0,38.8,29.9,80.5,3.08,250001,52.2,59.3,74.4,1.9,15.5
10301,560236,7.177635709,39,44.9,39.1,3.34,78053,47.8,40.4,59,20.1,7.5
10302,457418,6.187428139,35.4,43.4,27.2,3.95,73927,52.9,43.2,45.1,24.5,5.9
10303,379690,5.433535111,34.6,48.4,26,3.75,69879,49.4,41.5,36.4,33.5,9.7
10304,563088,8.724771069,38.8,47.7,30.5,3.44,64539,47.7,41.3,48.9,27.9,11.2
10305,543037,7.067757344,41.1,43.5,31.7,3.36,76833,49.5,50.2,67.3,6.3,19.4
10306,586474,6.61285194,42.5,44.5,33.3,3.35,88687,49,50.2,75.8,4.4,10.3
