Precinct,Black Stopped Rate_2011,Public Schools,Parks
1,56.37065637,18,13
5,39.06350225,13,4
6,54.46851726,5,5
7,34.80967201,20,6
9,33.51965716,12,4
10,53.41534477,13,5
13,42.07920792,18,4
14,53.67088608,5,1
17,38.88349515,4,4
18,48.83016791,17,2
19,33.63809524,19,7
20,42.23792247,21,2
22,36.65254237,20,1
23,59.18962167,13,5
24,50.89467263,12,2
25,67.0763651,11,8
26,67.5015027,9,4
28,81.97528038,6,2
30,41.47019868,12,3
32,87.62734272,13,4
33,22.63882971,26,2
34,9.127121579,36,8
40,52.00678349,15,3
41,40.75381764,42,4
42,59.39262123,39,11
43,41.75684278,36,10
44,49.34626989,24,8
45,35.34129056,28,4
46,43.70170579,29,6
47,75.9784199,38,1
48,43.95061728,22,6
49,47.133608,19,1
50,25.82929556,26,7
52,31.18405627,21,7
60,50.15072347,19,6
61,27.85498489,21,6
62,7.890535918,9,2
63,78.97491821,20,6
66,11.68016723,24,4
67,89.57458184,15,4
68,7.474048443,20,7
69,89.68448586,20,2
70,71.00942783,20,1
71,91.22048553,25,3
72,8.126702021,32,4
73,85.23860611,52,11
75,69.90996785,11,8
76,42.97059455,16,6
77,85.64664621,14,3
78,38.14345992,17,5
79,77.38530528,18,4
81,85.47359168,27,4
83,31.51587777,19,5
84,62.17874952,12,6
88,76.15722783,21,8
90,35.88181715,11,5
94,24.66633712,10,7
100,62.65649452,14,1
101,86.23876987,19,8
102,19.16508539,21,3
103,70.50489739,22,8
104,10.2269421,34,7
105,74.59912164,19,6
106,31.86393613,29,5
107,43.93695146,22,7
108,11.31399317,28,7
109,16.02145522,19,13
110,8.207503474,23,10
111,19.14529915,14,4
112,21.30906956,25,5
113,84.98260377,29,5
114,34.68046021,15,21
115,8.476536682,23,3
120,52.20133414,18,14
122,15.09176717,19,4
123,4.538727183,14,4
